id,commodity,elec_production,elec_consumption,h2_consumption,gasoline_production,diesel_production,jetfuel_production,capture_rate,emission_rate,investment_cost,fixed_om_cost,variable_om_cost
CA_Ethanol_to_Gasoline,Ethanol,0,0,0.0,0.945257433,0.0,0.0,0.0,0.00188639,221829.8796,121537.9965,5.38
NW_Ethanol_to_Gasoline,Ethanol,0,0,0.0,0.945257433,0.0,0.0,0.0,0.00188639,221829.8796,121537.9965,5.38
SW_Ethanol_to_Gasoline,Ethanol,0,0,0.0,0.945257433,0.0,0.0,0.0,0.00188639,221829.8796,121537.9965,5.38
TX_Ethanol_to_Gasoline,Ethanol,0,0,0.0,0.945257433,0.0,0.0,0.0,0.00188639,221829.8796,121537.9965,5.38
NCEN_Ethanol_to_Gasoline,Ethanol,0,0,0.0,0.945257433,0.0,0.0,0.0,0.00188639,221829.8796,121537.9965,5.38
CEN_Ethanol_to_Gasoline,Ethanol,0,0,0.0,0.945257433,0.0,0.0,0.0,0.00188639,221829.8796,121537.9965,5.38
SE_Ethanol_to_Gasoline,Ethanol,0,0,0.0,0.945257433,0.0,0.0,0.0,0.00188639,221829.8796,121537.9965,5.38
MIDAT_Ethanol_to_Gasoline,Ethanol,0,0,0.0,0.945257433,0.0,0.0,0.0,0.00188639,221829.8796,121537.9965,5.38
NE_Ethanol_to_Gasoline,Ethanol,0,0,0.0,0.945257433,0.0,0.0,0.0,0.00188639,221829.8796,121537.9965,5.38
CA_Ethanol_to_Diesel,Ethanol,0,0,0.014253091,0.0,0.950466389,0.0,0.0,0.0010795,246863.8625,135253.823,10.05
NW_Ethanol_to_Diesel,Ethanol,0,0,0.014253091,0.0,0.950466389,0.0,0.0,0.0010795,246863.8625,135253.823,10.05
SW_Ethanol_to_Diesel,Ethanol,0,0,0.014253091,0.0,0.950466389,0.0,0.0,0.0010795,246863.8625,135253.823,10.05
TX_Ethanol_to_Diesel,Ethanol,0,0,0.014253091,0.0,0.950466389,0.0,0.0,0.0010795,246863.8625,135253.823,10.05
NCEN_Ethanol_to_Diesel,Ethanol,0,0,0.014253091,0.0,0.950466389,0.0,0.0,0.0010795,246863.8625,135253.823,10.05
CEN_Ethanol_to_Diesel,Ethanol,0,0,0.014253091,0.0,0.950466389,0.0,0.0,0.0010795,246863.8625,135253.823,10.05
SE_Ethanol_to_Diesel,Ethanol,0,0,0.014253091,0.0,0.950466389,0.0,0.0,0.0010795,246863.8625,135253.823,10.05
MIDAT_Ethanol_to_Diesel,Ethanol,0,0,0.014253091,0.0,0.950466389,0.0,0.0,0.0010795,246863.8625,135253.823,10.05
NE_Ethanol_to_Diesel,Ethanol,0,0,0.014253091,0.0,0.950466389,0.0,0.0,0.0010795,246863.8625,135253.823,10.05
CA_Ethanol_to_JetFuel,Ethanol,0,0,0.023755151,0.0,0.0,0.946932606,0.0,0.00286948,331164.8345,181441.3395,13.3
NW_Ethanol_to_JetFuel,Ethanol,0,0,0.023755151,0.0,0.0,0.946932606,0.0,0.00286948,331164.8345,181441.3395,13.3
SW_Ethanol_to_JetFuel,Ethanol,0,0,0.023755151,0.0,0.0,0.946932606,0.0,0.00286948,331164.8345,181441.3395,13.3
TX_Ethanol_to_JetFuel,Ethanol,0,0,0.023755151,0.0,0.0,0.946932606,0.0,0.00286948,331164.8345,181441.3395,13.3
NCEN_Ethanol_to_JetFuel,Ethanol,0,0,0.023755151,0.0,0.0,0.946932606,0.0,0.00286948,331164.8345,181441.3395,13.3
CEN_Ethanol_to_JetFuel,Ethanol,0,0,0.023755151,0.0,0.0,0.946932606,0.0,0.00286948,331164.8345,181441.3395,13.3
SE_Ethanol_to_JetFuel,Ethanol,0,0,0.023755151,0.0,0.0,0.946932606,0.0,0.00286948,331164.8345,181441.3395,13.3
MIDAT_Ethanol_to_JetFuel,Ethanol,0,0,0.023755151,0.0,0.0,0.946932606,0.0,0.00286948,331164.8345,181441.3395,13.3
NE_Ethanol_to_JetFuel,Ethanol,0,0,0.023755151,0.0,0.0,0.946932606,0.0,0.00286948,331164.8345,181441.3395,13.3
CA_Ethanol_to_Gasoline_Diesel,Ethanol,0,0,0.0,0.874601532,0.075453064,0.0,0.0,0.00200763,226211.7044,123938.7471,6.0
NW_Ethanol_to_Gasoline_Diesel,Ethanol,0,0,0.0,0.874601532,0.075453064,0.0,0.0,0.00200763,226211.7044,123938.7471,6.0
SW_Ethanol_to_Gasoline_Diesel,Ethanol,0,0,0.0,0.874601532,0.075453064,0.0,0.0,0.00200763,226211.7044,123938.7471,6.0
TX_Ethanol_to_Gasoline_Diesel,Ethanol,0,0,0.0,0.874601532,0.075453064,0.0,0.0,0.00200763,226211.7044,123938.7471,6.0
NCEN_Ethanol_to_Gasoline_Diesel,Ethanol,0,0,0.0,0.874601532,0.075453064,0.0,0.0,0.00200763,226211.7044,123938.7471,6.0
CEN_Ethanol_to_Gasoline_Diesel,Ethanol,0,0,0.0,0.874601532,0.075453064,0.0,0.0,0.00200763,226211.7044,123938.7471,6.0
SE_Ethanol_to_Gasoline_Diesel,Ethanol,0,0,0.0,0.874601532,0.075453064,0.0,0.0,0.00200763,226211.7044,123938.7471,6.0
MIDAT_Ethanol_to_Gasoline_Diesel,Ethanol,0,0,0.0,0.874601532,0.075453064,0.0,0.0,0.00200763,226211.7044,123938.7471,6.0
NE_Ethanol_to_Gasoline_Diesel,Ethanol,0,0,0.0,0.874601532,0.075453064,0.0,0.0,0.00200763,226211.7044,123938.7471,6.0
